insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Mandarina Colombo', 'mandrianacol5@gmail.com', '0112233456', 5, 10, 'images/Mandriana.jpg', 'Colombo');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Jetwing Colombo Seven', 'jetwingcol7@gmail.com', '0112245436', 7, 15, 'images/JetwingColombo.jpg', 'Colombo');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Pledge Scape Negombo', 'pledgescape@gmail.com', '0123568490', 5, 8, 'images/PledgeScape.jpg', 'Negombo');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Amagi Aria', 'amagiaria@gmail.com', '0125566342', 8, 10, 'images/AmagiAria.jpg', 'Negombo');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Sevana City Hotel', 'sevanacity@gmail.com', '0134763298', 5, 7, 'images/SevanaCity.jpg', 'Kandy');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'SKYLOFT KANDY', 'skyloftkandy@gmail.com', '0133575910', 8, 8, 'images/SkyLoft.jpg', 'Kandy');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'The Ramp', 'theramp@gmail.com', '0145842896', 5, 5, 'images/TheRamp.jpg', 'Nuwara Eliya');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'The Grand Hotel', 'thegrandhotel@gmail.com', '0144678542', 5, 8, 'images/TheGrandHotel.jpg', 'Nuwara Eliya');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Paradise Beach Club', 'paradisebeachclub@gmail.com', '0145874321', 5, 6, 'images/ParadiseBeachClub.jpg', 'Mirissa');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Glamour Hotel Mirissa', 'glamourhotel@gmail.com', '0143789531', 6, 8, 'images/GlamourHotel.jpg', 'Mirissa');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Ella Dream Catcher Resort', 'dreamcatcher@gmail.com', '0150875043', 6, 8, 'images/EllaDreamCatcher.jpg', 'Ella');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Ella Heritage', 'ellaheritage@gmail.com', '0151146784', 4, 6, 'images/EllaHeritage.jpg', 'Ella');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Fresco Water Villa', 'frescowater@gmail.com', '0165794327', 6, 6, 'images/FrescoWaterVilla.jpg', 'Sigirya');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'The Elephant Corridor', 'elephantcorridor@gmail.com', '0162567498', 4, 6, 'images/TheElephantCorridor.jpg', 'Sigirya');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Thaproban Pavilion Waves', 'thaprobanPavilionWaves@gmail.com', '0912256789', 4, 4, 'images/ThaprobanPavilionWaves.jpg', 'Unawatuna');
insert into hotelreservationsystem.hotel (hotelID, hotelName, email, contactNo, noOfLuxaryRooms, noOfEconomyRooms, location, hotelIMG) VALUES (0, 'Agnus Luxury Villa', 'agnusluxuryvilla@gmail.com', '0912247941', 4, 5, 'images/AgnusLuxuryVilla.jpg', 'Unawatuna');
